Order Number,Carrier ID,Actual Heat,Target Heat,Actual Time,Target Time,Full Station Time,World Time
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:31.781842
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:32.025490
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:32.272146
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:32.526823
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:32.778493
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:33.030163
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:33.275816
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:33.522473
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:33.763112
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:34.024808
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:34.270461
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:34.513108
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:34.762772
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:35.004415
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:35.249066
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:35.512767
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:35.755413
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:36.006079
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:36.261761
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:36.508416
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:36.758080
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:37.020780
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:37.270444
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:37.517099
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:37.766765
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:38.007404
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:38.253059
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:38.494701
