Time Since Start,Pressure,Flow,Apparent Power Ext,Apparent Power Int,Active Power Ext,Active Power Int,Reactive Power Ext,Reactive Power Int,World Time
,,,,,,,,,
76,5.46969,0.540194,35.33108,23.7915,16.58006,11.902185,30.12633,-15.19435T,09:28.3
77,5.469739,0.540255,35.27295,23.7652,16.57407,11.804826,30.25939,-15.186663,09:29.2
78,5.469727,0.540194,35.1606,23.71273,16.51086,11.521041,29.99327,-15.24097,09:30.2
79,5.469812,0.540194,35.08996,23.73219,16.55116,11.812352,29.85139,-15.131497,09:31.2
80,5.469751,0.540194,35.14417,23.68898,16.52835,11.96602,29.94192,-15.170058,09:32.2
81,5.46969,0.540194,35.28995,23.71334,16.67349,11.641629,30.01678,-15.175177,09:33.2
82,5.469702,0.540194,35.31693,23.67758,16.79804,11.772451,30.14456,-15.327782,09:34.2
83,5.469641,0.5404382,35.2922,23.65865,16.80198,11.917564,30.03106,-15.275447,09:35.2
84,5.469617,0.540194,35.36599,23.70602,16.7566,11.85571,29.99091,-15.188746,09:36.2
85,5.469702,0.540194,35.37788,23.80457,16.51781,11.928115,30.10451,-15.164853,09:37.2
86,5.469617,0.5403161,35.38632,23.76906,16.6978,11.657823,30.2084,-15.166993,09:38.2
87,5.46969,0.5403161,35.46102,23.72801,16.87572,11.62562,30.34539,-15.309879,09:39.2
88,5.469764,0.540194,35.47954,23.70983,16.733,11.970914,30.14753,-15.164879,09:40.2
89,5.469775,0.540194,35.49396,23.73596,16.66342,12.049695,30.32723,-15.207994,09:41.2
90,5.469702,0.540194,35.55005,23.7669,16.81024,11.91513,30.28686,-15.211562,09:42.2
91,5.469592,0.540194,35.62377,23.76322,16.89775,12.099622,30.33687,-15.146143,09:43.2
92,5.469653,0.540194,35.62937,23.79551,16.72674,11.935919,30.37922,-15.218101,09:44.2
93,5.469641,0.540194,35.55877,23.76318,16.68532,11.808433,30.32408,-15.156194,09:45.2
94,5.469739,0.540194,35.5711,23.78467,16.89828,11.797616,30.22582,-14.955431,09:46.2
95,5.469751,0.540194,35.57329,23.78893,16.74815,11.704986,30.30385,-14.953189,09:47.2
96,5.469861,0.540194,35.60571,23.78856,16.70545,11.574053,30.31125,-15.129651,09:48.2
97,5.4698,0.540194,35.66499,23.77865,16.91354,11.541896,30.33418,-15.115442,09:49.2
98,5.469788,0.5421473,35.65366,23.74575,16.87298,11.782755,30.38221,-14.932511,09:50.2
99,5.469861,0.540194,35.61146,23.68667,16.91368,11.377295,30.36929,-15.035627,09:51.2
100,5.469727,0.540194,35.61281,23.72308,16.89274,11.607143,30.29382,-15.221611,09:52.2
101,5.469764,0.540194,35.59279,23.73394,16.54605,11.880746,30.34681,-15.252193,09:53.2
102,5.469764,0.540194,35.62164,23.72949,16.77067,12.011075,30.44341,-15.186332,09:54.2
103,5.469775,0.540194,35.70226,23.75687,16.85895,11.703854,30.32448,-15.293291,09:55.2
104,5.469678,0.540194,35.71636,23.80787,16.68216,11.621629,30.37024,-15.487662,09:56.2
105,5.469641,0.540194,35.71675,23.78309,16.93765,11.904209,30.54789,-15.31316,09:57.4
106,5.469629,0.540194,35.70799,23.74208,16.83313,11.900717,30.56009,-15.190097,09:58.8
107,5.469861,0.540194,35.74351,23.74851,16.77289,12.074449,30.33279,-15.133426,09:59.2
108,5.469898,0.5403771,35.72072,23.74227,16.85295,12.095638,30.3295,-15.248208,10:00.2
109,5.469898,0.540194,35.69341,23.7303,16.70638,11.93988,30.22647,-15.384335,10:01.2
110,5.469873,0.540194,35.77375,23.77313,16.81551,11.931192,30.4038,-15.389365,10:02.2
111,5.469861,0.540194,35.77574,23.78823,16.92979,11.982178,30.52056,-14.996015,10:03.2
112,5.469836,0.540194,35.73311,23.71816,16.72654,11.469636,30.39908,-14.895761,10:04.2
113,5.469959,0.540255,35.73236,23.65405,16.79312,11.677631,30.33056,-15.264173,10:05.2
114,5.469947,0.5404381,35.74667,23.68584,16.81891,11.94845,30.47659,-15.268485,10:06.2
115,5.469983,0.540194,35.66634,23.7204,16.78966,12.054391,30.44443,-15.344422,10:07.2
116,5.469959,0.540194,35.60896,23.71948,16.90279,12.091143,30.4655,-15.233795,10:08.2
117,5.470032,0.540255,35.65127,23.76841,16.5641,11.905805,30.48611,-15.370247,10:09.2
118,5.469886,0.540194,35.65115,23.72977,16.81011,11.882135,30.3994,-15.142864,10:10.2
119,5.456519,1.623573,35.62844,23.67342,16.9704,11.545576,30.32658,-14.863185,10:11.2
120,5.419153,2.643838,35.63603,23.74433,16.85238,11.510465,30.42287,-15.042211,10:12.2
121,5.425696,0.8539339,35.69903,23.88675,16.81663,12.090618,30.32663,-15.2864,10:13.2
122,5.444971,0.6910823,35.6794,23.86575,16.84232,12.029392,30.31469,-15.15857,10:14.2
123,5.455176,0.6303485,35.66422,23.7673,16.67201,11.893515,30.24199,-15.358645,10:15.2
124,5.461011,0.5970822,35.65447,23.74793,16.80381,12.064245,30.3192,-15.15665,10:16.2
125,5.464856,0.5851188,35.59683,23.74921,16.84434,11.929148,30.30431,-15.41014,10:17.2
126,5.466407,0.5649758,35.52284,23.7369,16.71423,11.90136,30.20605,-15.408626,10:18.2
127,5.468347,0.540133,35.60471,23.79261,16.85132,11.985283,30.19389,-15.188416,10:19.2
128,5.469678,0.540194,35.66168,23.75871,16.78327,12.009674,30.30889,-15.291351,10:20.2
129,5.4703,0.6388017,34.62631,23.25883,17.07737,12.214585,30.00472,-14.681129,10:21.2
130,5.470618,0.540194,35.64763,23.70962,16.9763,12.014718,30.32289,-15.470892,10:22.2
131,5.470752,0.540194,35.70758,23.69901,16.75455,11.585331,30.43859,-15.370252,10:23.2
132,5.470862,0.540194,35.67604,23.71293,16.66592,11.395583,30.49595,-15.2082,10:24.2
133,5.399158,3.495148,35.67292,23.76519,16.76238,11.960921,30.24453,-15.364022,10:25.2
134,5.397071,1.220961,35.71779,23.86585,16.75936,12.19036,30.38082,-15.486251,10:26.2
135,5.430518,0.8423977,35.68638,23.85889,16.89541,12.208202,30.32556,-15.43264,10:27.2
136,5.447571,0.715986,35.73671,23.72465,16.8902,11.603893,30.36265,-15.254858,10:28.2
137,5.457031,0.6524447,35.73144,23.76143,16.94589,11.619236,30.51279,-15.26367,10:29.2
138,5.461878,0.6152109,35.73391,23.84709,16.91696,12.137698,30.46064,-15.42339,10:30.2
139,5.465711,0.5925655,35.80477,23.78706,16.76818,11.903745,30.46645,-15.31976,10:31.2
140,5.46792,0.5923214,35.75414,23.72519,16.90966,11.879236,30.4151,-15.27571,10:32.2
141,5.469348,0.5920772,35.7441,23.71439,16.68132,11.935275,30.52067,-15.354126,10:33.2
142,5.469641,0.5929317,35.75742,23.69476,16.83657,11.935563,30.33596,-15.23642,10:34.2
143,5.46698,0.5569187,35.72748,23.6989,16.88312,11.522449,30.33298,-15.25163,10:35.2
144,5.465125,0.574559,35.73759,23.6928,16.76611,11.542306,30.28991,-15.207686,10:36.2
145,5.463123,0.574742,35.72128,23.7345,16.8465,11.930288,30.3215,-15.253288,10:37.2
146,5.460999,0.56992,35.75722,23.74379,16.90296,12.068503,30.43232,-15.381985,10:38.2
147,5.461377,0.6490264,35.78218,23.72223,16.92993,12.064415,30.34476,-15.3588,10:39.2
148,5.463672,0.65275,35.77429,23.71966,16.96223,11.913538,30.32137,-15.209002,10:40.2
